ExamID,QuestionID,Year,Topic,Difficulty,AnswerType
Exam_2019,E_19_Q1,2019,Numerical Stability,Hard,Written
Exam_2019,E_19_Q2,2019,Root-Finding Algorithms,Hard,Written
Exam_2019,E_19_Q3,2019,Ordinary Differential Equations,Hard,Written
Exam_2019,E_19_Q4,2019,ODE Simulation,Medium,Written
Exam_2019,E_19_Q5,2019,Polynomial Interpolation,Hard,Written
Exam_2019,E_19_Q6,2019,Numerical Integration,Hard,Written
Exam_2019,E_19_Q7,2019,Fourier Analysis,Hard,Written
Exam_2019,E_19_Q8,2019,Linear Systems,Hard,Written
Exam_2019,E_19_Q9,2019,Eigenvalue Problems,Hard,Written
Resit_2019,R_19_Q1,2019,Floating-Point Arithmetic,Medium,Written
Resit_2019,R_19_Q2,2019,Root Finding,Hard,Written
Resit_2019,R_19_Q3,2019,ODE Numerical Methods,Medium,Written
Resit_2019,R_19_Q3a,2019,ODE Error Analysis,Hard,Written
Resit_2019,R_19_Q4,2019,ODE Simulation,Medium,Written
Resit_2019,R_19_Q5,2019,Polynomial Interpolation,Hard,Written
Resit_2019,R_19_Q6,2019,Numerical Integration,Hard,Written
Resit_2019,R_19_Q7,2019,Orthogonal Basis Approximation,Hard,Written
Resit_2019,R_19_Q7a,2019,Matrix Condition Analysis,Hard,Written
Resit_2019,R_19_Q8,2019,Eigenvalue Computation,Medium,Written
Resit_2020_2021,R_21_Q2,2020/2021,ODE Solving,Hard,Written
Resit_2020_2021,R_21_Q3,2020/2021,Polynomial Interpolation,Medium,Written
Resit_2020_2021,R_21_Q4,2020/2021,Numerical Integration,Hard,Written
Resit_2020_2021,R_21_Q5,2020/2021,Least-Squares Approximation,Hard,Written
Resit_2020_2021,R_21_Q6,2020/2021,Eigenvalue Computation,Hard,Written
Resit_2020_2021,R_21_Q7,2020/2021,Differential Equations,Hard,Written
Resit_2020,R_20_Q2,2020,ODE Methods,Hard,Written
Resit_2020,R_20_Q3,2020,Interpolation,Medium,Written
Resit_2020,R_20_Q4,2020,Numerical Differentiation and Integration,Hard,Written
Resit_2020,R_20_Q5,2020,Least-Squares Approximation,Hard,Written
Resit_2020,R_20_Q6,2020,Linear Systems,Hard,Written
Resit_2020,R_20_Q7,2020,ODE Simulation,Medium,Written
Resit_2022,R_22_Q1,2022,Algebraic Equations,Hard,Written
